# signature_gene_contribution | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
MP14_EMT_3,emt,ANXA3,0.238954,0.238196,0.005556,0.011391,0.353116,36
MP14_EMT_3,emt,FXYD3,0.514125,0.777211,0.018128,0.011269,0.23255,37
MP14_EMT_3,emt,FLNA,0.279926,0.29654,0.006917,0.010901,0.32419,38
MP14_EMT_3,emt,S100P,0.131487,0.156499,0.00365,0.008515,0.312938,39
MP14_EMT_3,emt,KLF6,0.524335,0.828742,0.01933,0.007393,0.114443,40
MP14_EMT_3,emt,TUBA1A,0.373719,0.473769,0.011051,0.007146,0.226822,41
MP14_EMT_3,emt,RHOC,0.31754,0.292693,0.006827,0.005499,0.181975,42
MP14_EMT_3,emt,S100A4,0.238404,0.343722,0.008017,0.005248,0.260333,43
MP14_EMT_3,emt,EMP1,0.209105,0.194288,0.004532,0.004899,0.177678,44
MP14_EMT_3,emt,EMP3,0.125925,0.13679,0.003191,0.00252,0.111517,45
MP14_EMT_3,emt,MYADM,0.19993,0.165331,0.003856,0.002455,0.107997,46
